Cycle,Healthy,Mild Disease,Progressive ,Dead (Disease),Dead (Background),Cycle_LE,Cycle_$,Cycle_QALE,Cum_LE,Cum_$,Cum_QALE,Cycle_Dis_LE,Cycle_Dis_$,Cycle_Dis_QALE,Cum_Dis_LE,Cum_Dis_$,Cum_Dis_QALE,p_death_oc,p_mild,p_progression
74,0.484,0.1563,0.0161,0.0548,0.2887,0.6565,326.5686,0.6461,68.661,11214.5995,68.3101,0.6565,35.5781,0.0704,68.661,2454.648,27.9002,0.034673635,0.01,0.02
75,0.4624,0.1529,0.016,0.0573,0.3115,0.6313,320.2552,0.6211,69.2923,11534.8547,68.9312,0.6313,33.8741,0.0657,69.2923,2488.522,27.9659,0.038546325,0.01,0.02
76,0.4399,0.1489,0.0157,0.0597,0.3358,0.6046,312.5117,0.5946,69.8969,11847.3664,69.5258,0.6046,32.0922,0.0611,69.8969,2520.6142,28.027,0.042824856,0.01,0.02
77,0.4167,0.1443,0.0154,0.062,0.3617,0.5763,303.3362,0.5667,70.4732,12150.7026,70.0925,0.5763,30.2427,0.0565,70.4732,2550.857,28.0835,0.047544664,0.01,0.02
78,0.3927,0.139,0.0149,0.0643,0.3891,0.5466,292.7439,0.5373,71.0198,12443.4465,70.6298,0.5466,28.3366,0.052,71.0198,2579.1935,28.1355,0.052742677,0.01,0.02
79,0.3681,0.1331,0.0144,0.0666,0.4179,0.5155,280.7703,0.5066,71.5353,12724.2168,71.1364,0.5155,26.386,0.0476,71.5353,2605.5795,28.1831,0.058456983,0.01,0.02
80,0.3429,0.1266,0.0138,0.0687,0.448,0.4832,267.4758,0.4747,72.0185,12991.6925,71.6111,0.4832,24.4045,0.0433,72.0185,2629.984,28.2264,0.064726382,0.01,0.02
81,0.3172,0.1195,0.0131,0.0708,0.4793,0.4499,252.949,0.4418,72.4684,13244.6415,72.053,0.4499,22.4068,0.0391,72.4684,2652.3908,28.2656,0.071589813,0.01,0.02
82,0.2914,0.112,0.0124,0.0728,0.5115,0.4157,237.3102,0.4082,72.8841,13481.9517,72.4611,0.4157,20.4092,0.0351,72.8841,2672.8,28.3007,0.079085644,0.01,0.02
83,0.2654,0.104,0.0115,0.0746,0.5444,0.381,220.7129,0.374,73.2651,13702.6646,72.8351,0.381,18.429,0.0312,73.2651,2691.229,28.3319,0.087250812,0.01,0.02
84,0.2396,0.0957,0.0107,0.0763,0.5776,0.346,203.345,0.3395,73.6111,13906.0096,73.1746,0.346,16.4843,0.0275,73.6111,2707.7132,28.3594,0.096119808,0.01,0.02
85,0.2142,0.0872,0.0098,0.0779,0.6109,0.3112,185.4269,0.3052,73.9223,14091.4365,73.4799,0.3112,14.5939,0.024,73.9223,2722.3071,28.3834,0.105723518,0.01,0.02
86,0.1894,0.0786,0.0088,0.0794,0.6438,0.2768,167.2082,0.2715,74.1991,14258.6447,73.7513,0.2768,12.7767,0.0207,74.1991,2735.0838,28.4042,0.11608792,0.01,0.02
87,0.1655,0.0699,0.0079,0.0807,0.6759,0.2433,148.9613,0.2386,74.4424,14407.606,73.9899,0.2433,11.0509,0.0177,74.4424,2746.1348,28.4219,0.12723268,0.01,0.02
88,0.1428,0.0614,0.007,0.0819,0.7069,0.2112,130.9728,0.207,74.6536,14538.5788,74.1969,0.2112,9.4334,0.0149,74.6536,2755.5681,28.4368,0.139169666,0.01,0.02
89,0.1215,0.0532,0.0061,0.083,0.7363,0.1807,113.5317,0.1771,74.8343,14652.1105,74.3741,0.1807,7.939,0.0124,74.8343,2763.5072,28.4492,0.15190146,0.01,0.02
90,0.1018,0.0454,0.0052,0.0839,0.7637,0.1524,96.9163,0.1493,74.9867,14749.0267,74.5234,0.1524,6.5797,0.0101,74.9867,2770.0869,28.4593,0.165419918,0.01,0.02
91,0.084,0.0381,0.0044,0.0847,0.7889,0.1264,81.38,0.1238,75.1131,14830.4068,74.6472,0.1264,5.3641,0.0082,75.1131,2775.451,28.4675,0.179704878,0.01,0.02
92,0.068,0.0314,0.0036,0.0853,0.8117,0.103,67.1375,0.1009,75.2161,14897.5442,74.748,0.103,4.2964,0.0065,75.2161,2779.7474,28.4739,0.194723105,0.01,0.02
93,0.0541,0.0254,0.0029,0.0859,0.8317,0.0824,54.3518,0.0807,75.2986,14951.896,74.8287,0.0824,3.3769,0.005,75.2986,2783.1242,28.4789,0.210427582,0.01,0.02
94,0.0422,0.0201,0.0023,0.0863,0.8491,0.0646,43.1258,0.0633,75.3632,14995.0219,74.892,0.0646,2.6014,0.0038,75.3632,2785.7256,28.4828,0.226757239,0.01,0.02
95,0.0322,0.0156,0.0018,0.0866,0.8637,0.0496,33.4976,0.0486,75.4128,15028.5195,74.9406,0.0496,1.9617,0.0028,75.4128,2787.6873,28.4856,0.243637203,0.01,0.02
